epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.339,0.97083,1.37986,1.00883,0.45102,0.81814,0.48875,0.34206,0.99908,1.4989,1.00805,0.000545744,0.000545744,0.000545744
2,592.482,0.99257,1.36217,1.02363,0.46679,0.85334,0.50248,0.35332,1.01766,1.41428,1.02224,0.000992371,0.000992371,0.000992371
3,1054.6,1.01638,1.339,1.02834,0.43167,0.77519,0.47452,0.33268,1.06701,1.60209,1.07477,0.00132898,0.00132898,0.00132898
4,1394.93,1.01054,1.31921,1.02971,0.452,0.78469,0.47739,0.34336,1.03724,1.39786,1.02408,0.0011719,0.0011719,0.0011719
5,1811.06,0.97688,1.24405,1.02239,0.4641,0.86136,0.50232,0.36271,1.0116,1.27391,1.0245,0.00100687,0.00100687,0.00100687
6,2042.16,0.95731,1.20054,1.01671,0.45994,0.84363,0.47897,0.3461,1.00988,1.28962,1.0507,0.000841835,0.000841835,0.000841835
7,2340.37,0.94021,1.15017,0.99311,0.45829,0.84912,0.47613,0.33749,0.98921,1.25056,1.02238,0.000676802,0.000676802,0.000676802
8,2677.38,0.92657,1.12279,1.00344,0.475,0.80865,0.49346,0.36403,0.98089,1.20636,1.01703,0.000511769,0.000511769,0.000511769
9,2963.22,0.90409,1.09438,0.99333,0.46626,0.84484,0.4791,0.34524,0.9573,1.19099,1.00825,0.000346736,0.000346736,0.000346736
10,3298.28,0.86707,1.06751,0.97934,0.46838,0.85495,0.48831,0.3535,0.94999,1.18264,1.00839,0.000181703,0.000181703,0.000181703
