epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.358,1.26839,3.717,1.14886,0.00243,0.69675,0.20956,0.13311,1.1304,4.09979,1.05286,0.000545744,0.000545744,0.000545744
2,610.727,1.2139,2.74231,1.12461,0.40385,0.60031,0.38072,0.246,1.21071,2.99451,1.14695,0.000992371,0.000992371,0.000992371
3,777.844,1.19138,2.28465,1.1287,0.06999,0.32703,0.06164,0.03379,1.21327,4.6581,1.16752,0.00132898,0.00132898,0.00132898
4,963.784,1.14317,1.97371,1.10561,0.4616,0.58767,0.41497,0.27479,1.2421,2.08238,1.14605,0.0011719,0.0011719,0.0011719
5,1154.36,1.09034,1.72883,1.0767,0.45352,0.83219,0.48892,0.33714,1.05408,1.67929,1.04076,0.00100687,0.00100687,0.00100687
6,1326.92,1.03779,1.56079,1.05834,0.44747,0.81814,0.47781,0.33102,1.03789,1.59207,1.05279,0.000841835,0.000841835,0.000841835
